"ASDR per 100 000 - Total deaths, ICD chapter 9 (Diseases of the circulatory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.3,,168.4,146.9,,,,, 
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,329.1,333.3,336.4,354.6,366.1,368,379.4,392,405.8,424.2,450.9,436,456,459.5,450.5,489.7,498,506,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,290.7,273,,,,,, 
Singapore,,98,101.5,102.9,107.2,112.9,119.4,122.3,133.3,140.6,133,138.5,145.5,163.8,161.2,176.6,189.4,197.3,198.5,204.4,219.3,213.3,216.5,217.6,226.9,225.4,250.6,270.9,272,274.4,275.2,292.9,303.9,301.3,306.4,310.5,316.2,345.4 
Slovakia,,,239.2,258.2,258.8,,326.6,331.6,342.4,360.5,370.2,378.5,374.5,385.5,387.2,400.1,397.7,402.3,426.3,413.6,410.1,430.9,424.2,393.6,399.4,,,,,,,,,,,,, 
Slovenia,,143.3,143.5,144.3,149.7,150.8,159.9,169.2,171.9,189.6,191.4,211,203.6,216,213.5,220.2,232.5,245.6,258.5,250.4,265.5,271.8,300.9,323.7,309,328,326.7,317.9,355.6,377,381.1,396.6,,,,,, 
South Africa,,231.3,225.6,225.4,244.9,261.5,268.2,278.1,283.2,282,292.5,284.4,290,309.9,296.2,,,,,,,,,,,,,,,,,,,,,,, 
Spain,,89.4,87.2,89.6,95.3,97,100.8,105,111.2,116,117,126.6,127.7,137.6,138,140.6,145.9,159.4,168.5,169,176.5,178.4,181.7,191.9,196.4,211,212.9,216.4,224.2,225.8,240.7,254.5,251.3,266.7,262,278.2,282.4, 
Sri Lanka,,,,,,,,,,,165.8,,,161.2,160.7,157.8,161.6,155.5,143.4,145.2,145.6,,,,,,,,,,166.6,160.8,152.2,137.4,137.6,158.7,167.3, 
